Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"GPT-4 generated psychological reports in psychodynamic perspective: a pilot study on quality, risk of hallucination and client satisfaction","GPT-4 generated psychodynamic psychological reports were found to be of similar quality to experts', with a low risk of hallucination and high client satisfaction.","Namwoo Kim, Jiseon Lee, Sung Hyeon Park, Yoonseo On, Jieun Lee, M. Keum, Sanghoon Oh, Yoojin Song, Junhee Lee, Geun Hui Won, Joon Sung Shin, S. Lho, Yoon Jung Hwang, Tae-Suk Kim",2025,1,"Recently, there have been active proposals on how to utilize large language models (LLMs) in the fields of psychiatry and counseling. It would be interesting to develop programs with LLMs that generate psychodynamic assessments to help individuals gain insights about themselves, and to evaluate the features of such services. However, studies on this subject are rare. This pilot study aims to evaluate quality, risk of hallucination (incorrect AI-generated information), and client satisfaction with psychodynamic psychological reports generated by GPT-4. The report comprised five components: psychodynamic formulation, psychopathology, parental influence, defense mechanisms, and client strengths. Participants were recruited from individuals distressed by repetitive interpersonal issues. The study was conducted in three steps: 1) Questions provided to participants, designed to create psychodynamic formulations: 14 questions were generated by GPT for inferring psychodynamic formulations, while 6 fixed questions focused on the participants' relationship with their parents. A total of 20 questions were provided. Using participants' responses to these questions, GPT-4 generated the psychological reports. 2) Seven professors of psychiatry from different university hospitals evaluated the quality and risk of hallucinations in the psychological reports by reading the reports only, without meeting the participants. This quality assessment compared the psychological reports generated by GPT-4 with those inferred by the experts. 3) Participants evaluated their satisfaction with the psychological reports. All assessments were conducted using self-report questionnaires based on a Likert scale developed for this study. A total of 10 participants were recruited, and the average age was 32 years. The median response indicated that quality of all five components of the psychological report was similar to the level inferred by the experts. The risk of hallucination was assessed as ranging from unlikely to minor. According to the median response in the satisfaction evaluation, the participants agreed that the report is clearly understandable, insightful, credible, useful, satisfying, and recommendable. This study suggests the possibility that artificial intelligence could assist users by providing psychodynamic interpretations.","non-rct observational study","Frontiers in Psychiatry","1","10.3389/fpsyt.2025.1473614","https://consensus.app/papers/gpt4-generated-psychological-reports-in-psychodynamic-kim-lee/650fb085941b5473b2bb4b0f85b92338/"
"Moving from tradition-based to competence-based psychotherapy","Psychotherapists should be trained in competence-based interventions, focusing on skills acquisition, relationship modification, and goal clarification, rather than relying on single theoretical frameworks.","W. Rief",2021,29,"Current education and training in psychological interventions is mostly based on different 'schools' (traditions such as cognitive-behavioural or psychodynamic therapy), and strong identification with these specific traditions continuously hinders a scientifically based development of psychotherapy. This review is selective rather than systematic and comprehensive. In addition to the consideration of other influential publications, we relied on a literature search in Web of Science using the following terms (update: 24 December 2020): (psychotherapy AND meta-analy* AND competence*). After summarising current problems, a pathway for solving these problems is presented. First, we have to recategorise psychological interventions according to the mechanisms and subgoals that are addressed. The interventions can be classified according to the foci: (1) skills acquisition (eg, communication, emotion regulation, mentalisation); (2) working with relationship patterns and using the therapeutic relationship to modify them; and (3) clarification of motives and goals. Afterwards, the training of psychotherapists can switch from focusing on one theoretical framework to learning the different competences for modification according to these new categories. The selection of topics to be addressed should follow best evidence-based mechanisms and processes of mental disorders and interventions. Psychology offers knowledge about these mechanisms that can be understood as a basic science for psychological treatments in general. This requires better connection with basic science, new research efforts that focus on treatment subgoals, theory-overarching optimisation of the selection and personalisation of treatments, and new types of training for psychotherapists that are designed to optimise therapists' competences accordingly, instead of limiting training programmes to one single theoretical framework.","systematic review","Evidence-Based Mental Health","1","10.1136/ebmental-2020-300219","https://consensus.app/papers/moving-from-traditionbased-to-competencebased-rief/102db16c288457b689523da4d7238592/"
"The Effect of Psychotherapy on Quality of Life in IBD Patients: A Systematic Review","Psychotherapeutic interventions, particularly cognitive-behavioral therapy, can improve quality of life in patients with inflammatory bowel disease.","E. Paulides, I. Boukema, C. J. van der Woude, N. D. de Boer",2020,41,"Patients with inflammatory bowel disease (IBD) express a need for additional psychotherapy; however, psychological support is not incorporated in the routine care of persons with IBD. This systematic review aims to assess the effect of psychotherapy on quality of life (QoL). A systematic search was conducted on October 7, 2019, using Embase, Medline (Ovid), PubMed, Cochrane, Web of Science, PsycInfo, and Google Scholar to collect all types of clinical trials with psychotherapeutic interventions that measured QoL in patients with IBD aged ≥18 years. Quality of evidence was systematically assessed using the Grading of Recommendations Assessment, Development, and Evaluation criteria. Out of 2560 articles, 31 studies (32 articles) were included with a total number of 2397 patients with active and inactive IBD. Of the 31 eligible studies, 11 reported a significant positive effect and 6 had ambiguous results regarding the impact of psychotherapeutic interventions on QoL. Treatment modalities differed in the reported studies and consisted of cognitive-behavioral therapy, psychodynamic therapy, acceptance and commitment therapy, stress management programs, mindfulness, hypnosis, or solution-focused therapy. All 4 studies focusing on patients with active disease reported a positive effect of psychotherapy. Trials applying cognitive-behavioral therapy reported the most consistent positive results. Psychotherapeutic interventions can improve QoL in patients with IBD. More high-quality research is needed before psychological therapy may be implemented in daily IBD practice and to evaluate whether early psychological intervention after diagnosis will result in better coping strategies and QoL throughout life.","systematic review","Inflammatory Bowel Diseases","1","10.1093/ibd/izaa144","https://consensus.app/papers/the-effect-of-psychotherapy-on-quality-of-life-in-ibd-paulides-boukema/a90d5f65539a5d89a7fd5c1a150f177c/"
"Is Another Psychoanalysis Emerging?","Contemporary psychoanalytic practitioners are challenging the notion that psychoanalysis is only available to a higher-income, mainstream group, and racial and ethnic ideals of whiteness.","Patricia Gherovici, Marisa Berwald",2025,0,"This article analyzes and contextualizes findings of an online survey documenting transformations in psychoanalytic practice. The findings indicate that a number of contemporary practitioners challenge the premise that psychoanalysis is only available to a higher-income group, also associated with mainstream gender and sexualities, and racial and ethnic ideals of whiteness. The first step of a multistage exploratory research study gathered a sample of 243 respondents, a majority of whom practice in the United States. Almost all of the respondents (99.17%) reported engagement in clinical work with populations historically considered underserved. This suggests possibilities for the emergence of a new psychoanalysis and initiates the project of mapping the inclusive practice of psychoanalysis today.","non-rct observational study","Psychoanalytic review","3","10.1521/prev.2025.112.1.5","https://consensus.app/papers/is-another-psychoanalysis-emerging-gherovici-berwald/a17d1932ffd350b7912801c26867368e/"
"Exploring the associations between psychodynamic constructs and psychopathology: A network approach.","Personality functioning is the most influential psychodynamic construct, linking psychodynamic constructs and psychopathology, suggesting it may be an important intervention target.","Larissa Vierl, F. Juen, Cord Benecke, S. Hörz-Sagstetter",2022,22,"Psychodynamic therapy effectively reduces symptomatology by focusing on underlying (unconscious) processes instead of symptoms. Nevertheless, the exact interrelationship between psychodynamic constructs and psychopathology remains unclear. This study uses network analysis to explore these associations. We computed a cross-sectional partial correlation network between psychodynamic constructs (i.e., personality functioning, interpersonal relations, and active and passive modes of intrapsychic conflicts according to the Operationalized Psychodynamic Diagnostics [OPD] system) and psychopathology (i.e., depression and somatization) in a naturalistic sample of 341 adults registering for psychodynamic outpatient therapy. We estimated node centrality, node predictability, and bridge symptoms and used community detection analysis. Bootstrap methods were applied to assess network stability. Psychodynamic constructs and psychopathology resulted in separate but connected clusters. Personality functioning emerged as the most influential node in the network and was bridging the clusters. The network was found to be highly stable, allowing reliable interpretations. The results offer important insights on how psychodynamic constructs relate to psychopathology, which can be used to inform treatment approaches. The findings suggest that personality functioning may be an important intervention target. However, future research is needed to include a broader range of diagnoses. In addition, longitudinal studies may clarify the direction of causality.","non-rct observational study","Personality and mental health","1","10.1002/pmh.1559","https://consensus.app/papers/exploring-the-associations-between-psychodynamic-vierl-juen/7a95e50e410e5a34bcc4306be49fd7b6/"
"Childhood trauma and differential response to long-term psychoanalytic versus cognitive–behavioural therapy for chronic depression in adults","Adults with chronic depression and a history of childhood trauma show greater benefits from psychoanalytic therapy compared to cognitive-behavioral therapy.","L. Krakau, M. Ernst, M. Hautzinger, M. Beutel, Marianne Leuzinger-Bohleber",2024,13,"Childhood trauma is a major risk factor for chronic depression. It has been suggested that adults with chronic depression who have experienced childhood trauma may require long-term treatment owing to a breakdown of basic trust and related difficulties in developing a productive therapeutic relationship. As empirical studies have been preliminary and scarce, we studied the effects of psychoanalytic therapy (PAT) versus cognitive-behavioural therapy (CBT) for chronic depression in adults with a history of childhood trauma. In this subgroup, we expected a greater symptom reduction in PAT compared with CBT. In a large trial of long-term psychotherapies for chronic depression (LAC-Study; Clinical Trial Register ISRCTN91956346), 210 adults received open-ended CBT or PAT in an out-patient setting and were examined yearly over 5 years on the Beck Depression Inventory - II (BDI-II). Based on a linear mixed model approach, we tested participant-reported childhood trauma based on the Childhood Trauma Questionnaire (CTQ) as a predictor and moderator of treatment outcome. CTQ subscales were examined exploratively. Depressive symptoms decreased over time (= -4.55, s.e. = 0.90, 95% CI -6.32 to -2.81,= -5.08;< 0.001). A significant three-way interaction between childhood trauma, time and therapy group (= -0.05, s.e. = 0.02, 95% CI -0.09 to -0.01,= -2.42;= 0.016) indicated that participants with childhood trauma profited especially well from PATs. Our results indicate differential benefits from PAT compared with CBT among adults with chronic depression and a history of childhood trauma. The results have important implications for differential indication and policy.","non-rct observational study","The British Journal of Psychiatry","1","10.1192/bjp.2024.112","https://consensus.app/papers/childhood-trauma-and-differential-response-to-longterm-krakau-ernst/44cfb5e536375e88b3d98fbbdbb8adda/"
"Psychodynamic and Psychoanalytic Psychotherapy in the Older Population: A Systematic Review","Psychodynamic and psychoanalytic therapy may improve relationships and insight development, and may be beneficial for older adults with mental health issues like depression or anxiety.","Natalie Seiler, Sam Rosella, Benjamin Ziegeler, Benjamin Newham",2025,1,"Older adults may experience age-related stressors and significant mental health issues, including anxiety and mood related disorders. There is currently limited evidence regarding psychodynamic or psychoanalytic psychotherapy among the older population. This systematic review aimed to assess psychodynamic or psychoanalytic psychotherapy principles among older adults. A literature search using the key words ‘psychodynamic’ ‘psychoanalytic’ ‘psychotherapy’ ‘elderly’ ‘geriatric’ ‘old’ ‘older’ was undertaken by two independent reviewers as per selection criteria. Inclusion criteria included published full-text papers in English between 1980 and 2024 which assessed the involvement of psychodynamic or psychoanalytic therapy principles among older adults. Exclusion criteria included reviews, meta-analyses, books, citations, conference abstracts, theses, or editorials. Thirty-five articles met inclusion criteria and of these, there were 15 case reports, 11 case series, 5 prospective studies, and 4 studies in relation to group therapy. Prospective studies showed clinical improvements among older adults, however behavioural or cognitive psychotherapy more often showed superior outcomes. Most group psychodynamic psychotherapy studies were descriptive but recommended psychodynamic group therapy as a beneficial treatment among older adults. Case series and case reports also primarily recommended psychodynamic or psychoanalytic therapy as a potentially effective treatment which may improve self-reflection, depressive or anxiety symptoms, relationships, and overall functioning. Psychodynamic and psychoanalytic therapy may improve relationships and insight development, and may be a beneficial intervention among older adults for mental health issues such as depression or anxiety.","systematic review","Journal of Contemporary Psychotherapy","2","10.1007/s10879-025-09671-z","https://consensus.app/papers/psychodynamic-and-psychoanalytic-psychotherapy-in-the-seiler-rosella/7c3a729807785ba18d2576b3df845a42/"
"Research in psychoanalysis across theory and practice: a systematic literature review","New hybrid ways for future psychoanalysis can be identified despite long-standing difficulties in epistemological cohabitation with mainstream psychological research.","Cristina Marogna, Ciro De Vincenzo, Klodjana Lleshi, Elisa Paluan, Andrea Viecelli Giannotti",2025,1,"The present systematic review of the literature aims to provide a comprehensive overview of the state of the art of research in psychoanalysis. The arguments draw a difference between psychoanalytic research and research in psychoanalysis, meaning that in the past decades, there has been an attempt to bridge the gaps between psychoanalysis and broader research in psychology. Major scientific databases for contemporary psychological research (Ebsco PsycINFO, Ebsco CINAHL, Scopus, Web of Science, PubMed, and PEP-Web) were searched to gather psychoanalytic-oriented research, both theoretical and empirical. The PRIMA method provided a total of 36 results, on which a conceptual/reflexive thematic analysis was conducted. The identified themes or dimensions are: i) the epistemological status of psychoanalysis; ii) the research domains in psychoanalysis; iii) the research methodology in psychoanalysis; iv) the research methods in psychoanalysis; and v) the instruments of research in psychoanalysis. We conclude that, despite long-lasting difficulties in the epistemological cohabitation between psychoanalysis and mainstream psychological research, new hybrid ways for future psychoanalysis can be identified.","systematic review","Research in Psychotherapy : Psychopathology, Process, and Outcome","","10.4081/ripppo.2025.861","https://consensus.app/papers/research-in-psychoanalysis-across-theory-and-practice-a-marogna-vincenzo/c8c34f919a7c574f95ea5605bc427483/"
"A systematic review of psychodynamic theories in community psychology: Discovering the unconscious in community work.","Psychodynamic theories, particularly interpersonal psychoanalysis, Adlerian psychology, and Tavistock psychodynamic model, enhance the role of empowerment, preventative perspectives, power, and social order in community psychology.","Andrea Caputo, M. Tomai",2020,3,"The aim of this systematic review is to provide a narrative synthesis of the peer-reviewed literature regarding the role of psychodynamics in community psychology. The authors screened 301 records on the topic, found in major citation databases (Scopus and Web of Science) without time or language restrictions. Ten articles addressing the review question were identified, showing the contributions of interpersonal psychoanalysis, Adlerian psychology, the Tavistock psychodynamic model, and Lacanian psychoanalysis. Several points of synergy between community psychology and psychodynamics were outlined mainly concerning empowerment theory, preventative and ecological perspective, power, and social order. Besides, the view on the community life, the role of emotion, and the conceptualization of the unconscious domain are discussed. Implications for community interventions are highlighted, regarding clients' demands, the role of community practitioners, and the use of transference/countertransference in consultative work. Limitations and future directions are also considered.","systematic review","Journal of community psychology","1","10.1002/jcop.22407","https://consensus.app/papers/a-systematic-review-of-psychodynamic-theories-in-caputo-tomai/50088b7ad0d353f4a07e27c1e7cac9ac/"
"Review of the current empirical literature on using videoconferencing to deliver individual psychotherapies to adults with mental health problems","Videoconferencing is an effective and accessible method for delivering behavioral and cognitive therapies to adults with mental health problems, with similar client ratings to in-person therapy.","N. Thomas, Caity E McDonald, Kathleen de Boer, R. Brand, M. Nedeljkovic, Liz Seabrook",2021,101,"The COVID-19 pandemic has resulted in a widespread adoption of videoconferencing as a communication medium in mental health service delivery. This review considers the empirical literature to date on using videoconferencing to deliver psychological therapy to adults presenting with mental health problems. Papers were identified via search of relevant databases. Quantitative and qualitative data were extracted and synthesized on uptake, feasibility, outcomes, and participant and therapist experiences. Videoconferencing has an established evidence base in the delivery of cognitive behavioural therapies for post-traumatic stress disorder and depression, with prolonged exposure, cognitive processing therapy, and behavioural activation non-inferior to in-person delivery. There are large trials reporting efficacy for health anxiety and bulimia nervosa compared with treatment-as-usual. Initial studies show applicability of cognitive behavioural therapies for other anxiety and eating disorders and obsessive-compulsive spectrum disorders, but there has yet to be study of use in severe and complex mental health problems. Therapists may find it more difficult to judge non-verbal behaviour, and there may be initial discomfort while adapting to videoconferencing, but client ratings of the therapeutic alliance are similar to in-person therapy, and videoconferencing may have advantages such as being less confronting. There may be useful opportunities for videoconferencing in embedding therapy delivery within the client's own environment. Videoconferencing is an accessible and effective modality for therapy delivery. Future research needs to extend beyond testing whether videoconferencing can replicate in-person therapy delivery to consider unique therapeutic affordances of the videoconferencing modality. Videoconferencing is an efficacious means of delivering behavioural and cognitive therapies to adults with mental health problems. Trial evidence has established it is no less efficacious than in-person therapy for prolonged exposure, cognitive processing therapy, and behavioural activation. While therapists report nonverbal feedback being harder to judge, and clients can take time to adapt to videoconferencing, clients rate the therapeutic alliance and satisfaction similarly to therapy in-person. Videoconferencing provides opportunities to integrate therapeutic exercises within the person's day-to-day environment.","systematic review","Psychology and Psychotherapy","","10.1111/papt.12332","https://consensus.app/papers/review-of-the-current-empirical-literature-on-using-thomas-mcdonald/19c9f27b51575f7cb1701fb8bcb83fed/"
"Non-Cognitive Behavioral Therapy Psychological Interventions May Not Make the Difference in Children and Adolescents With Chronic Pain","Non-CBT psychological interventions, such as psychoanalysis and psychodynamic psychotherapy, did not significantly improve pain intensity, school attendance, physical function, suicidality, or sleep normalization in children and adolescents with chronic pain during the COVID-19 pandemic.","Lauren Perlman, Naomi Malka, Oliver Terry, Alex Nguyen, Lucas Guimarães Ferreira Fonseca, Juan Ingelmo, Pablo Ingelmo",2025,0,"Chronic pain in pediatric populations presents a multifaceted challenge with biopsychosocial impact, requiring a multidisciplinary approach including psychological treatment. At our interdisciplinary pain center, the SARS-CoV-2 pandemic-related disruptions led to the cessation of cognitive-behavioral therapy (CBT) and other psychological interventions during the pandemic. The aim of this retrospective cohort study with secondary retrospective matched case-control analysis was to evaluate the impact of interruption of non-CBT psychological interventions, namely psychoanalysis and psychodynamic psychotherapy, on children and adolescents with chronic pain conditions during the SARS-CoV-2 pandemic. We included pediatric patients with primary and secondary chronic pain conditions evaluated by our team during the SARS-CoV-2 pandemic. We excluded patients who did not receive psychological intervention when available, those with incomplete data on initial evaluation or follow-up, and those who received outside psychiatric care or individual or group CBT. The primary outcome was a Patients' Global Impression of Change (PGIC) score of 6-7. Secondary outcome measures were pain intensity, use of pain medication, sleep, physical function, school attendance, the incidence of suicidality, and the reason for end of treatment. The study included 146 patients, 77 who received non-CBT psychological interventions and 69 who did not receive any psychological interventions. We found no meaningful difference between the use of non-CBT psychological intervention and no treatment in the incidence of PGIC 6-7 points, pain intensity, school attendance, physical function, suicidality, and cause of end of treatment. Patients not receiving any psychological interventions were more likely to have normalized sleep at the end of treatment. Non-CBT psychological interventions, namely psychoanalysis and psychodynamic psychotherapy, were not associated with meaningful benefits for children and adolescents with chronic pain during the COVID-19 pandemic. Patients who did not receive psychological interventions reported normalization of their sleep at the end of treatment compared to those who participated in non-CBT interventions.","non-rct observational study","Journal of Pain Research","2","10.2147/jpr.s503542","https://consensus.app/papers/noncognitive-behavioral-therapy-psychological-perlman-malka/5a1c60f47306538ea3ec41e38b9e3ea8/"
"Shadow Work and Jungian Psychology in Contemporary Therapy: Reclaiming the Disowned Self","Shadow work in contemporary therapy helps individuals discover and reclaim their disowned traits, promoting psychological wholeness, ethical accountability, and communal renewal.","Sanjana S",2025,0,"Abstract

Shadow work, rooted in Jungian analytical psychology, explores the repressed, denied, and unconscious aspects of the psyche—those disowned traits that influence our behavior, emotions, and relationships. In contemporary therapy, shadow work has gained renewed relevance as an integrative practice that bridges traditional psychoanalysis with trauma-informed care, expressive arts, and spiritual inquiry. This paper presents an in-depth literature review on the theory and application of shadow work, tracing its Jungian foundations and evolution into modern psychotherapeutic paradigms. Emphasis is placed on the role of shadow integration in trauma recovery, identity formation, collective healing, and ethical practice. The paper highlights how contemporary therapists employ varied methods—including somatic work, narrative therapy, expressive arts, and depth-oriented group modalities—to address the shadow’s complex layers. Further, it discusses the digital age’s impact on the shadow self and examines cultural critiques and ethical considerations. Ultimately, shadow work is proposed not merely as an introspective technique, but as a transformative process toward psychological wholeness, ethical accountability, and communal renewal.

 

Keywords: shadow work, Jungian psychology, trauma-informed therapy, identity formation, somatic integration, ethical practice.","literature review","INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT","","10.55041/ijsrem49585","https://consensus.app/papers/shadow-work-and-jungian-psychology-in-contemporary-s/e21fa9f0adff5ad8a31c7988da36c09e/"
"Therapeutic interventions in in‐person and remote psychotherapy: Survey with psychotherapists and patients experiencing in‐person and remote psychotherapy during COVID‐19","Therapeutic interventions differ between in-person and remote psychotherapy during COVID-19, with differences between therapeutic orientations in behavioral-oriented interventions becoming indistinct in remote therapy.","T. Probst, B. Haid, W. Schimböck, A. Reisinger, M. Gasser, H. Eichberger-Heckmann, P. Stippl, A. Jesser, E. Humer, Nicole Korecka, C. Pieh",2021,38,"First, to investigate how psychotherapists and patients experience the change from in-person to remote psychotherapy or vice versa during COVID-19 regarding the therapeutic interventions used. Second, to explore the influence of therapeutic orientations on therapeutic interventions in in-person versus remote psychotherapy. Psychotherapists (N = 217) from Austria were recruited, who in turn recruited their patients (N = 133). The therapeutic orientation of the therapists was psychodynamic (22.6%), humanistic (46.1%), systemic (20.7%) or behavioural (10.6%). All the data were collected remotely via online surveys. Therapists and patients completed two versions of the 'Multitheoretical List of Therapeutic Interventions' (MULTI-30) (version 1: in-person; version 2: remote) to investigate differences between in-person and remote psychotherapy in the following therapeutic interventions: psychodynamic, common factors, person-centred, process-experiential, interpersonal, cognitive, behavioural and dialectical-behavioural. Therapists rated all examined therapeutic interventions as more typical for in-person than for remote psychotherapy. For patients, three therapeutic interventions (psychodynamic, process-experiential, cognitive interventions) were more typical for in-person than for remote psychotherapy after correcting for multiple testing. For two therapeutic interventions (behavioural, dialectical-behavioural), differences between the four therapeutic orientations were more consistent for in-person than for remote psychotherapy. Therapeutic interventions differed between in-person and remote psychotherapy and differences between therapeutic orientations in behavioural-oriented interventions become indistinct in remote psychotherapy.","non-rct observational study","Clinical Psychology & Psychotherapy","1","10.1002/cpp.2553","https://consensus.app/papers/therapeutic-interventions-in-in%E2%80%90person-and-remote-probst-haid/068687ee101053228ae9593e9dbf8196/"
"Construction and Initial Psychometric Validation of the Morana Scale: A Multidimensional Projective Tool Developed Using AI-Generated Illustrations","The Morana Scale, developed using AI-generated illustrations, is a reliable tool for assessing destructive and sublimation tendencies within a neuropsychoanalytic framework.","T. Koweszko, Natalia Kukulska, J. Gierus, Andrzej Silczuk",2025,0,": Psychoanalytic theories of destructiveness highlight its deep, unconscious origins tied to primal emotional and motivational mechanisms. Traditional psychiatric models of suicidal risk assessment focus on classic risk factors, limiting diagnostic and intervention approaches. This study examines the neuropsychoanalytic foundations of destructive tendencies, integrating sublimation and evolutionary motivational systems, redefining their role in the destruction process.: A total of 480 AI-generated illustrations were assessed for interpretative accuracy. The final set was used in an online projection task with 204 respondents. Analyses included factorial exploration of the structure of the tool, assessment of psychometric properties (Cronbach α, ROC, AUC), logistic regression and analysis of intergroup differences.: Factor analysis identified eight subscales. Six of the eight factors showed thematic resemblance to Panksepp's emotional systems, although this interpretation remains theory-driven and requires empirical validation. The remaining two-pursuit of destruction and its sublimation-extend beyond natural evolutionary mechanisms. Destructiveness was best explained by depression and psychological pain (OR = 1.39, 95% CI [1.26-1.52]), aggression and impulsivity (OR = 1.68, 95% CI [1.36-2.06]), and anxiety and a sense of threat (OR = 1.55, 95% CI [1.27-1.90]). Key predictors of destruction sublimation were curiosity (OR = 3.15, 95% CI [2.43-4.09]), closeness and love (OR = 3.43, 95% CI [2.48-4.76]), and pleasure and fun (OR = 3.08, 95% CI [2.26-4.20]). Analyses showed higher levels of destructiveness in individuals receiving psychological or psychiatric support, those with prior diagnoses, and students compared to employed individuals.: Results indicate high reliability (Cronbach's α > 0.87) and discrimination among internal subscale-defined groups (ROC > 0.7), supporting the tool's potential in assessing destructive and sublimation tendencies within a neuropsychoanalytic framework. Future studies will explore its external validity and clinical applications.","non-rct observational study","Journal of Clinical Medicine","1","10.3390/jcm14197069","https://consensus.app/papers/construction-and-initial-psychometric-validation-of-the-koweszko-kukulska/a40efff987e45b11aa64f25e49de8145/"
"Does Childhood Emotional Abuse Moderate the Effect of Cognitive Behavioral Analysis System of Psychotherapy versus Meta-Cognitive Therapy in Depression? A Propensity Score Analysis on an Observational Study.","CBASP is more effective than MCT for depression in patients without childhood emotional abuse, but both treatments are equally effective for those with childhood emotional abuse.","J. Klein, R. Dale, S. Glanert, Ulrike Grave, Svenja Surig, B. Zurowski, S. Borgwardt, U. Schweiger, Eva Fassbinder, T. Probst",2021,6,"","non-rct observational study","Journal of affective disorders","1","10.1016/j.jad.2021.12.087","https://consensus.app/papers/does-childhood-emotional-abuse-moderate-the-effect-of-klein-dale/13de96cf6e6e519cb432ece4a6d73349/"
"Evaluative Research on Psychodynamic Therapy: Foundations and Recent Advances","Psychodynamic therapy (PDT) is an evidence-based treatment for common mental disorders and can promote deep and lasting psychopathological changes in patients with severe, complex, and chronic mental disorders.","Fabian Guénolé",2025,0,"Psychodynamic therapy (PDT), a technical adaptation of psychoanalysis, is one of the most widely practiced forms of psychotherapy, making evaluative research on it essential. Although research on PDT has been ongoing for several decades, theoretical and practical challenges initially hindered the adoption of evidence-based medicine standards in such research, a shift that has largely taken place over the past 20 years. This article reviews the evolution of evaluative research on PDT for mental disorders in adults, with a focus on those with complex conditions. Since the first prospective evaluative studies in the 1950s, an accumulating body of knowledge-including cohort studies, randomized controlled trials, and meta-analyses-has established PDT as an evidence-based treatment for common mental disorders such as depression, anxiety, somatic symptoms and related disorders, and personality disorders, as well as complex mental disorders involving combinations of these conditions. There is also evidence supporting PDT's usefulness in treating anorexia nervosa and opioid dependence, along with some findings suggesting its potential use for schizophrenia spectrum disorders, bulimia nervosa, and posttraumatic stress disorder. Recent studies indicate that PDT can serve as a personalized treatment, promoting deep and lasting psychopathological changes in patients with severe, complex, and chronic mental disorders, involving specific technical features and mechanisms of change. These findings support the inclusion of PDT in mental health care policies and training, while ongoing research continues to explore its optimal treatment parameters.","literature review","Journal of Psychiatric Practice","3","10.1097/pra.0000000000000826","https://consensus.app/papers/evaluative-research-on-psychodynamic-therapy-gu%C3%A9nol%C3%A9/97b7694e2e6f5dcdb0c2dbd2672c1ef5/"
"A comprehensive mapping of outcomes following psychotherapy for adolescent depression: The perspectives of young people, their parents and therapists","Psychotherapy for adolescent depression leads to improvements in mood, coping, and resilience, but more diverse outcomes are needed to better reflect stakeholder priorities and understand change processes.","K. Krause, N. Midgley, J. Edbrooke‐Childs, Miranda Wolpert, Miranda Wolpert",2020,43,"As mental health systems move towards person-centred care, outcome measurement in clinical research and practice should track changes that matter to young people and their families. This study mapped the types of change described by three key stakeholder groups following psychotherapy for depression, and compared the salience of these outcomes with the frequency of their measurement in recent quantitative treatment effectiveness studies for adolescent depression.Using qualitative content analysis, this study identified and categorized outcomes across 102 semi-structured interviews that were conducted with depressed adolescents, their parents, and therapists, as part of a randomized superiority trial. Adolescents had been allocated to Cognitive-Behavioral Therapy, Short-Term Psychoanalytic Psychotherapy, or a Brief Psychosocial Intervention.The study mapped seven high-level outcome domains and 29 outcome categories. On average, participants discussed change in four domains and six outcome categories. The most frequently discussed outcome was an improvement in mood and affect (i.e., core depressive symptoms), but close to half of the participants also described changes in family functioning, coping and resilience, academic functioning, or social functioning. Coping had specific importance for adolescents, while parents and therapists showed particular interest in academic functioning. There was some variation in the outcomes discussed beyond these core themes, across stakeholder groups and treatment arms.Of the outcomes that were frequently discussed in stakeholder narratives, only symptomatic change has been commonly reported in recent treatment studies for adolescent depression. A shift towards considering multiple outcome domains and perspectives is needed to reflect stakeholder priorities and enable more nuanced insights into change processes.","non-rct observational study","European Child & Adolescent Psychiatry","1","10.1007/s00787-020-01648-8","https://consensus.app/papers/a-comprehensive-mapping-of-outcomes-following-krause-midgley/dced93f7abfd575c8fbfa73a4c97a0dc/"
"What contributes to good outcomes? The perspective of young people on short-term psychoanalytic psychotherapy for depressed adolescents","Adolescents value collaborative exploration with therapists, which can facilitate deep-rooted transformations in self-perception, but not all experience therapy this way.","H. Housby, Lisa A. Thackeray, N. Midgley",2021,16,"Depression is the fourth leading cause of adolescent illness and disability worldwide. A growing evidence base demonstrates that Short Term Psychoanalytic Psychotherapy [STPP] is an efficacious treatment for moderate to severe adolescent depression. However, with research in its infancy, key factors contributing to efficacy are unknown. Service users' lived experiences provide valuable insight in this area. This study aimed to elucidate what adolescents value in treatment by inductively exploring lived experiences of STPP. Five adolescents with the largest reduction in depressive symptoms scores between baseline and end of treatment, who had taken part in a large-scale randomized controlled trial, were sampled. In-depth interviews carried out soon after the end of therapy were analysed using Interpretative Phenomenological Analysis. Three superordinate themes were identified: ""Therapy as a Transformational Process"", ""Explorative and Exposing: The Therapeutic Space"" and ""Being Heard and Working Together: The Therapeutic Relationship"". Adolescents valued a process of collaborative exploration with the therapist which when it was achieved was felt to facilitate a deep-rooted transformation in self-perception. Additionally, they described how an adjustment was needed to the particular frame of a psychoanalytic therapy. However, not all participants with a good treatment outcome experienced therapy in this way, suggesting a potential gap between the quantitative assessment of outcomes, and the way young people experience and understand the change process. Clinical implications and directions for research are discussed.","non-rct observational study","PLoS ONE","1","10.1371/journal.pone.0257334","https://consensus.app/papers/what-contributes-to-good-outcomes-the-perspective-of-young-housby-thackeray/46d388f3383a5feba7e6661fb483f757/"
